jwat	jwlt	kqat	jdah
wunoŋ	vunoŋ	wunoŋ	sunoŋ
lacea	lacqa	nacea	oaeea
mabeco-ni	mabeco-nis	mabtco-ni	kqbeco-nu
lucadenna	locadenna	lucaffnna	mucwdenba
wagoro	xagoro	dagido	xqgoro
gucug	gugug	gycig	bycug
atta	attm	atyq	attz
noggo	noggon	nobgi	nofbo
kitgum	kdtgum	jifguk	lutrum
paipai	laipai	osopai	oaipay
ociko-ni	ociko-vi	pckko-nj	ociko-ni
giwacce	giwacce	giwacad	gifxcce
[gitiŋe	[gitibe	[gjtiŋe	[hihiŋr
gicikkene	gicikkene	ficikidne	gicukkene
gubedi	zubedi	gugeel	gkbeci
nikopoli	nixopoli	nimoooli	niiolopi
otel	oqel	otdl	itel
omiyyo	omiyyc	kmiiyo	omikyk
iling	nling	ulkng	illbb
waŋur	waiur	daŋur	waŋur
lakucel	lakucej	lajuddl	kajucel
odwoŋo	odwolo	idwpŋo	odwkŋk
yugine	yagine	yygimr	rugihe
jacipa	jacipn	yadipq	jzcups
gipikko	gypikko	gipkkki	gipilkl
cung	cungk	suhg	cing
baa	bab	vaa	bzq
ojogge	ojjgge	ojpjge	ojofhe
rukgi	rukgb	rukgi	rikri
laremmi	lareimi	magemml	lqremni
igaddo	igadlo	lgawdp	iyzdvo
otac	otau	ptzc	otqc
poiniki	poiniwi	opiniui	poiniij
wupoto	wupzto	wkpltk	duopto
goga	xoga	hpga	glfa
epoŋ	epol	wpoŋ	eooŋ
gu	hu	gu	hu
cabit	rabit	dsbit	xabot
pacogi	uacogi	pacigk	paaogu
ogolle	ogollm	knolke	ogllme
nikup	hikup	nokyp	jiluk
omakogi	omahogi	lmqkigi	onskogu
rororo	rororok	rorogo	rktkro
legi	legs	kegl	lerj
yatti	yajti	yxthi	yarrl
gititti	gititti	gitiffj	gigitty
gipitoni	gipitoniq	gopironk	gupigonu
pot	potk	poh	lot
okemowa	okemona	onemoes	okejiaa
wacuku	waruku	dwcunu	wavjki
orukko	orukkof	irulio	orukjk
gubal	gubaz	bubai	nufql
twil	bwil	tajl	gsil
gubatijagi	gupatijagi	gubxtijagi	fubatijagi
mwar	ewar	mwaw	hwsr
gunekogi	cunekogi	gujskigi	gunejobo
kitarani	kitaranw	kitsrami	kitarxni
cwinynyi	cainynyi	cwinyntk	xwinynyy
gucokke	rucokke	hucolkw	gudojkd
gibikelo	gibiuelo	glbokeko	gibkldlo
wirre	wijre	qirrd	qmrre
ibinenno	ibinennog	ibunejho	iginenho
piko	pikog	iiko	piil
attitiwu	attitiwt	atgitiei	attitiwg
giieto	giietom	boieho	jiieti
botto	bctto	boyti	bkttm
tungu	xungu	ruggu	tugvh
ngee	ngve	bgef	ngee
jwang	jwang	jsanb	jsanf
wango	wangob	wanfo	waggo
edok	edoi	edil	rdok
awira	awirah	awidw	awira
awobine	awoeine	awoglne	awobige
opuri	opgri	opudi	okuei
adwal	adwao	qdwap	xddak
oyeŋo	oyfŋo	oyrŋo	oyrŋp
watito-ni	watilo-ni	watifo-ni	wqtirl-ni
gipwonynyogi	gipwonynyagi	goowonknyogi	gulwobynyofi
mamwol	mampol	mahdpl	mwmwop
olammo	ojammo	liammk	olqmnk
tweerro	tneerro	fqeerrk	taeegrk
atir	atix	atlg	atit
icweya	pcweya	icseys	pcwwya
kiwog	kiwkg	kkwog	uiwkg
citefano-ni	citenano-ni	citdfwno-ji	citedanp-gi
adekke	adebke	adeuks	adwnoe
aturre	aturrm	zyurrw	ahufrr
otwooni	otwoonik	oysoomi	otdponi
gikwanno	eikwanno	yiowanbo	gkkeannk
larot	larotb	lafit	magot
ikomma	ikowma	ioomhx	ikohmx
ikura	itura	ijkra	igufa
penynye	penymye	pdhjnye	oentnyw
onene	onener	otene	knege
piwu	puwu	ljwu	pidu
lut	tut	lur	lur
geye	geyv	nrye	bete
wuru	weru	widu	suru
okano	okanb	kjano	ilano
komwu	qomwu	kphwu	kjmwi
gunyerogi	gunyerosi	rknydrogi	hjnyerpgi
jogi	bogi	jogy	jovj
lannye	lannyea	lznntw	lannyq
gibor	pibor	vjbor	nibor
kwedgi	kwelgi	kwewgl	kwsdnk
lima	luma	oina	iima
latuny	latune	laflny	lqtuny
koddo	koddok	kotdo	ukddo
pekona-ni	pekzna-ni	pejoma-gi	pdkona-ni
ibinywalo	ibbnywalo	iblnyeaoo	ibinyazlo
yece	yece	yecs	yrce
abiri	abirij	abiri	ahirl
bibwot	bqbwot	vibwpg	hihwpt
lobogi	lobogr	lobogk	lofogn
laminne	laminme	lahknnr	lahjnje
lalworro	lagworro	ialwordo	oalwobro
anyogine	anpogine	abmogine	anyogine
lwakki	ltakki	leqkkl	lwzkoi
rubu	rubu	dufu	rufu
bonggine	bgnggine	binggibr	gonrginf
pitogi	pinogi	pitobi	kiyogi
codde	coyde	cpddd	cocwe
rom	roj	tom	eim
armagedon	armagedof	armwgsdom	ermahedon
kayo	kaxo	maho	jayo
joel	joelc	jowk	jpel
ludoŋo	luhoŋo	lkvoŋo	iusiŋo
to	tos	to	tk
ipur	ipxr	lpuf	lpir
odongo	odongd	odonro	oaongp
alulo	aluls	qoulo	zlulk
mabeco	mabcco	kabgco	habebo
lakwaaro	lakwaaroi	pskeaaro	lamqaado
gucoye	gusoye	guxlyd	thvoye
waaro	waarj	wxado	ezark
bikwera	bikwmra	bilqeta	bokaerq
obutto	oqutto	objttp	oburti
gwkido	gwkidl	gdkpdo	gwkkdo
gitiŋo	gitiŋf	gltuŋo	gkgiŋo
ngwec	nfwec	ngqef	nywex
tweg	treg	fwfg	fwsg
wubilok	wubivok	wubuooo	sjbilok
gupenynye	gupenynyel	guprnhnyr	huoenyjye
turo	tkro	tufp	tugi
goro-ni	goro-nih	vobo-ni	giro-ni
iwiny	iwiny	iwiny	owint
mayogi	mayogi	nwyoyi	mayptl
olwenyo	olwenyoc	ojwwnyo	klwfmyo
lucat-wil	lucat-wilj	lucat-wim	lucaf-wjl
yatta	yatto	yattw	yatfa
bitiyo	bitiyoe	buuiyo	bigoho
abiribbe	abihibbe	zviribbw	ahlrobbe
nywanne	xywanne	nyqanhw	gywannw
cogo	eogo	ciho	ckfo
ayako	ayado	ayaui	ayqoo
obwoyogi	obloyogi	kbwoyogi	obwoyigi
olowa	ohowa	okkwa	pliwa
luwadi	luwami	ijwsdi	iusqdi
iwak	iwfk	iqam	iwak
ojologi	ouologi	ojokkti	ojologi
okar	okau	lkxr	ojar
lacooni	lacoini	lscooni	kacolni
nenni	nennv	bengi	hemnj
aye	ayer	zye	zyd
boyi	boyin	bori	vohi
ngillo	ngillu	ngklpo	nnillu
omatte	omattg	omzttd	lmxthe
lugwok	lugwoks	lugaok	ljgwok
wukatto	wukatte	ekkattk	wukathl
jorgi	jorli	joegj	yirgi
mono	mono	kogo	mlmo
legani	eegani	lshanl	iegwmi
adwala	adwmla	cdwxla	adwakx
tette	teate	tegtr	terfw
lagogo	lagoga	lxglto	labpgk
tomaci	tomacn	fojacu	timzci
dyang	dyarg	vyant	dhang
iagwar	iagwaro	iarwar	iagwae
cwinyynye	cwinyynie	deinhynye	cainyhnhe
lanyutte]	lansutte]	lanyuetw]	labyutte]
gimatto	gimattoq	gmmatgo	tjmqtto
owekogi	owekcgi	owrjohi	kwekpvi
imota	imota	umpta	omifa
guturo	gutura	ghyurl	guturp
adita	adiza	sditw	afitw
yoda	yodaf	ypdw	ypra
otwong	otwkng	ptwlng	ojaong
keyo	kpyo	kejk	keyi
bolowu	bobowu	boloeh	bolowk
ganynye	gynynye	nqnymye	gamjmye
yarre	yqrre	yxere	hzrrr
jolowu	jolouu	kkloeu	jollwj
biromowa	yiromowa	birkmosa	bigimoaa
demetrio	deletrio	demgtril	drhetrik
abako	abakoi	zbqko	abamk
gibatijagi	nibatijagi	gibagijxgj	gigatijqgi
gibed	gibpd	fibfd	flbed
oumo	ouoo	oumo	ohmi
lokwa-ni	loiwa-ni	plksa-ni	ookwx-ni
ogok	hgok	ogok	pgoi
nudde	nudden	mydde	nyfdw
wer	wrr	wdr	ddr
ŋutwu	ŋutwub	ŋutwh	ŋugwy
jerucalem	jjrucalem	jedubalem	jrruszlem
gibiwaco	gibiwacu	gibiwxco	gjbiwqck
ryee	pyee	rter	thee
apyeya	apyeyj	qpyeyq	qkyeja
palema	palemv	pwlenw	pslwms
ayerowu	ayerowui	ajetoqu	wyerosy
wutek	wutrk	wutwm	sjrek
ogonynye	ogonynyek	igonknye	ogpnhnyr
lapwopwo	ljpwopwo	lapqopqp	lzpeopwo
kop	kopw	lop	kkp
gkiworo	gkidoro	gniwpdo	rkiwprl
loyo	yoyo	kogo	lohk
iwoti	iwotq	jwpti	iwmti
wapwoyo	wapwoyo	wapwouo	dapepyo
gaja	gajaa	rajq	gaia
tot	totg	tof	tit
wamarogi	wamaropi	wamaelgi	aamarkhi
kakanone	kakmnone	kqkauone	lqkanonw
ajota	ajotas	ajofw	znota
nianggo	nianggm	nisgfgo	mjanygo
loŋo	hoŋo	lpŋo	lkŋk
ocwero	ocwerol	icwerl	lcwefl
dide	kide	eids	dide
acikowu	acikowua	wcikoai	aclkowt
gabbo	vabbo	gwbbo	hahbo
pyere	pkere	pyfge	lyere
opoi	otoi	opki	oooi
ocub	jcub	oxyb	ocub
lwaŋo	lwsŋo	kwwŋo	lwaŋo
ditogi	ditogg	ditoti	witogi
beddi	bedpi	bgddi	beddj
teerro	teerbo	tewtri	yesrro
matino-ni	matido-ni	mztunk-ni	matobp-ni
ocokko	ocofko	kdojko	ofllko
gweni	hweni	geenu	gweti
yelowu	yxlowu	yekiwy	ysllau
kinwa	kinwt	kigwx	kimws
lakap	lykap	lxiap	lakqp
kabutto	kabftto	kzbytti	kabjtfo
gonynyo	gonynwo	gkntjyo	gonynui
icon	iconw	lckn	idkn
laremwa	laremwa	marensa	maremww
ebed	ebud	dhed	ebrd
gilirine	xilirine	giolrjne	gikiribe
koyoni	eoyoni	ilgoni	ooyoji
ocwalla	ocialla	lcsaila	ovwxloa
nywakko	nygakko	ngwakkk	jywakml
orya	oryd	oria	oryq
gicammo	gicammo	gixsnmo	giczmmu
niga	nsga	nlba	nigw
owinynye	owinznye	odhnynye	oejbynye
kalweny	lalweny	kslwsnj	kaiwenj
tweene	twyene	tweanf	twrebs
alonnye	alonnyp	alonjye	allnnye
bimol	cimol	fihol	vkmol
alony	alone	wliny	qlonu
itiŋŋe	itikŋe	ihiŋŋe	ituŋŋr
cukull	culull	cukgll	cuoulk
jwanne	jwanre	jqanjf	jaannr
olwoke	hlwoke	plqike	pkwpke
ennu-ni	ennu-nin	ebhu-nu	enny-no
imatto	mmatto	inwtti	iuatti
ceddo	cedwo	cdddk	swedo
mumi	mumik	mhki	mumu
acomma	acodma	wcommz	aclmja
ijol	bjol	imol	ijkl
penya	penyd	penhw	prnyq
gengo	geogo	fsngo	renno
aŋeyo	lŋeyo	aŋeyo	sŋeyk
myen	myeq	mjfn	mteg
nyimmi	nyimms	fykmmi	muummi
otorre	utorre	ptorgs	lrorrf
oruggo	oruygo	orubgk	oeuggo
gkiok	gkiek	tkiom	gjlok
nwoone	nwoore	neoohe	nwopne
jem	jej	jen	lem
watiyo	watcyo	watnyp	eayiyp
yekonia	yekonix	yskojis	ywooniw
gupake	gupoke	gipxkw	gkpxle
jange	bange	jange	jdngr
ebimiinigi	ebimifnigi	rgimiimigi	ebimiufigi
wulirre	wqlirre	wuiuree	aulitrr
merro	meero	merro	merro
muk	mut	myk	mjj
borre	bomre	borse	borsw
wugurre	wudurre	dkgurfe	euguerf
wutemme	wuterme	wuffmmf	dutemme
gilac	gtlac	tilaf	gllax
olwoŋa	olwcŋa	oiwpŋa	oldiŋa
alip	ahip	alkp	aoio
gunyut	gunynt	gtnuut	nunhug
ludobo	uudobo	lidofl	ljdpho
waneke	waneked	wajskw	wandks
ipe	ipt	ips	ike
madit-ti	mfdit-ti	hwxit-ti	jzdlt-ti
kuman	kusan	kgman	kumzk
miya	miyax	jiyz	mjyx
giny	ciny	yimy	gkny
jwaane	jwlane	jwxwne	jeaage
iyo	iyox	igo	iyl
irom	iror	ifom	irim
wany	wanyk	aqny	wwgy
bullone	buulone	bukmohe	bjolkne
giweke	gkweke	giwwkt	gkweke
kete	kete	kwtf	mete
kwede	vwede	mwedf	kaddf
cette	cetre	sftte	cwths
biito	biitp	biifo	fkitl
gicikowu	gqcikowu	gicjkowu	viciokwu
odurre	odlrre	kdjrrr	jdurrr
gibigwoko	gkbigwoko	gibogwiko	gibigwkkp
konyi	konyiv	kohyo	nonyj
oling	olingv	llinn	oking
guballe	gubalne	rubaime	gunxile
dworre	dworhe	fqorre	eworre
ŋine	ŋina	ŋkbe	ŋime
wupwony	rupwony	cupqony	wukwpgy
oŋayogi	oŋabogi	oŋajofk	oŋqyogi
kweyo	zweyo	lwego	gdeyo
puyone	puyoye	piuobe	pkyome
cangi	cangl	cabvi	sahgi
yel	yec	ysl	yeo
lapwonygi	lapwonygir	lzpwonjni	lspwlnygi
tako	tjko	yakl	tsko
twec	twac	tqes	twex
oyako	oqako	otaoo	oyxji
ginoŋo	ghnoŋo	nlnoŋo	gjnoŋl
lwennye	lweinye	lwennfe	laennte
iribbo	irizbo	lribgk	kbibbo
guwekko	wuwekko	fuwekkl	busrkko
ŋuro	ŋjro	ŋuho	ŋkro
gulwokowa	golwokowa	vulwokiww	gilwoipwa
aŋecani	aŋecani	aŋdcani	aŋexani
gitorro	gitorror	bitofdo	gitlrfo
ikom	ikou	lkon	ikom
mal	mali	map	mzl
bicor	bicoe	bucot	bucot
lupur	lupurs	luoue	lhoyr
cukku	cucku	culmu	cujju
lone	lond	lone	llhe
daggegi	daggegiu	dxgneri	cagnegi
omara	omars	onsra	pmarq
wugik	wudik	wktik	wmgjk
maditte	malitte	madittr	naditgr
gularo	gllaro	bylxro	gulwgk
amulla	amulia	qhullq	anumoa
ajig	ajib	auog	wjir
kinaga	kinagx	konatw	klnzga
nyanynyo	nyanynyq	nhqnybyo	ntsjynyo
okod	okoy	okif	ouor
gujolo	gbjolo	gyjooo	vujolo
cwercwiny	cwercginy	fwedcwiny	cderssiny
kwotwu	vwotwu	owitau	kwohdk
anena	wnena	znema	agenx
aduku	adukut	ashku	xdumu
kwoŋŋe-ni	kwoŋŋe-nia	kwlŋŋr-ni	kwlŋŋe-ni
kenwa	kenya	kenez	krjwa
gawo	gdwo	raso	gqqo
orabbo	orabboq	odwbho	orxbno
jiri	jiriq	jjrl	joro
tinno	tiuno	hinnl	tijnm
guywayo	guyqayo	gjywwgo	guysqyo
twomme	twbmme	jwonme	twommw
lemme	leqme	pemmw	lemmc
ngacaka	ngacakaw	ggasakw	ngacakw
okoco	okocov	oklck	okpfl
lumyel	lukyel	lhmysm	lungek
abana	abanr	whana	abzga
lucania	lucfnia	kucanlw	mhcaniw
oduru	odubu	kdiru	odhru
ojuki	obuki	kjuii	pnuki
uci	uciu	ici	kcj
aturra	aturrac	wrurta	qrurrx
gwin	gwin	gwub	gwig
mooro	mqoro	jolro	mpofi
gango	gangoi	gahvo	gangp
lukwooni	lbkwooni	lukwilgi	lkkwponj
jwikke	jwmkke	jwikns	jqlkme
adwoggi	adwongi	wdwovvi	adwlygi
pile	pqle	liie	puld
wutimme	wdtimme	wjtomme	wktimmw
luwil	luwix	ouwip	lyeik
obwonne	obwonned	ohsonns	obwonna
nyanya	nyanqa	nianyz	nyanoa
gwelli	gjelli	gwwkli	heelpi
luticci	auticci	ljhicfi	mutlcdi
lonyone	lonyong	llnyons	lonyome
lukeme	lukmme	ljiemr	lukene
yomo	yomox	yumo	yomk
gibilwoŋogi	gibilwoŋogiw	gobilwkŋogu	yibilaoŋogi
oony	vony	opmy	oojy
pim	pum	pik	pik
ganno	ganpo	ganno	gannl
claque	claquev	cmaqud	slwaue
wucwalla	wucdalla	wucealoa	wuwwzlla
tim-mi	tix-mi	fkm-ji	tlk-hi
yeyo	yuyo	ysyi	teyl
bitito	bztito	vitjyo	bitojo
gugonywa	gugunywa	gugojuwa	gugifywa
inane	inawe	inznr	inanr
cwar	csar	cqsr	cwqr
pany	pang	pagg	kanh
oterowa	otenowa	oheroww	oterksa
oyot	oyht	ojpt	iylt
wabinoŋo	wabinoŋol	sabinkŋo	wshinoŋo
okwot	okwot	okfot	onwog
olonyowa	olonyowa	oklnyoqa	omonyowa
dyaŋi	dkaŋi	dyxŋi	fgaŋi
aliŋa	aliŋg	sliŋa	smiŋa
gujul	gujuv	bujul	guihl
yorre	yodre	yirge	godrr
rok	rop	rol	rik
lyedde	lredde	lnedce	lyewde
mukwoŋo-ni	mukwoŋo-ny	mukqoŋp-ni	mkkwoŋo-ni
lwer	lwery	lwer	ldwr
ariŋo	ariŋod	wrlŋo	agiŋo
ginekogi	gonekogi	gkndlogi	binfkogi
nyaanne	nyaannz	myaqbne	gyaanhe
acakki	acaeki	aczkkl	acakii
olemmo	olemjo	olemnl	oldjmk
gicwerro	gicwerrol	gifwfgro	glfwerto
rote	roqe	rptd	eotw
jena	jenaw	jwba	jeha
gibicuŋ	gibipuŋ	gjbocuŋ	gifkvuŋ
makur	manur	jakjr	mzpur
giyikowa	giyakowa	giyjklaa	giyikkws
ipoo	ipoo	ipok	ipko
ongil	oigil	obgio	onfil
wegine	wedine	wfgims	wegime
ongwec	ongxec	ingwgc	ongwfc
gumaare	gumaase	gihaare	gumazte
alim	alimn	alig	alim
reggi	regki	tfggi	regfi
gibinyono	gibinyonou	gifinhonk	gibibyono
agerre	agerref	ayrrrf	sgerre
lwerro	lwerrc	ksfrro	lderro
wubilaro	wubilark	qybiparo	wuhilqro
gibimiine	ggbimiine	fobimiind	riflmiine
lacwee	lagwee	lacsee	lavaee
luwotgi	lucotgi	jjwotgi	luwitgi
lacoone	laroone	lavolne	laapone
bipwoyi	bipwoyif	bupwpyo	himwoyi
cayo	cayv	vajo	czyo
lukwenawu	lukwesawu	kukwqnawu	lukdsgawu
libya	aibya	llbja	lijya
kenya	kenza	kdnyz	kwnha
ocwak	dcwak	pdwak	lswak
topino	topinox	tkpyno	hppkno
abora	abona	afors	wblta
gupoŋo	gupoŋoq	yukoŋi	guooŋm
kelone	keloneg	kwlime	kemkge
olekko	olekks	oiekko	klfkuo
ikel	ikelx	imep	ikfl
lucile	lqcile	ludiie	lucpie
wubikumo	wubikpmo	wubuuimo	wunimjmo
gutitti	cutitti	gutogti	vutigtu
piri	pigi	piri	pkrk
igwokgi	igwokgin	ivwougk	igwpngi
gwinno	iwinno	hsknno	nwinnl
dako-nu	dako-qu	wwno-nu	dahi-nu
gujaar	oujaar	ruyaae	fuhasr
doto	dott	dptk	dito
eimaarro	dimaarro	eikasrdo	elhaarto
odiwu	cdiwu	odiqi	oeiwy
nyiŋwa	nyiŋfa	nuoŋwa	nyjŋww
agalagala	agaaagala	agqmagaia	agwlsgwla
waparo	wapaao	wqpxeo	wapsro
oteme	ooeme	otrmd	otrmd
awiny	awinl	awihj	wwonu
teg	peg	teh	geg
tukku	tukkd	tuokh	tukiu
aryebba	arybbba	wryvbba	zruebva
gikonye	gbkonye	hijonye	gioknye
owkide	opkide	owkode	owiide
diki	dbki	dkko	dlki
wadok	wadoke	eadoo	wwrok
lapelle	layelle	lwpflie	lwpsllw
abikwanyo	abikwanyow	abikwento	afikwajyl
micia	micha	hicix	mucla
gibwoyo	givwoyo	tibwluo	gibqkyl
mitwu	xitwu	nitau	mjtek
ogol	ogog	ohpl	ohil
wabitimo	wanitimo	qabihijo	wabitikk
wucer	mucer	wycwr	wucet
egony	egonv	fginy	evonu
abakko	abawko	abwnkk	abskui
onyar	onlar	ohyag	okyae
aryonu	aryona	qgyony	atyohk
of	or	of	if
kok	kokp	ook	kik
pele	sele	proe	pfle
giryemgi	giryemgim	turhemgi	giruejgi
tud	nud	tux	tjd
gum	gumt	gkm	ghm
motokagi	motokadi	ootikagi	mptokagu
ocoyogi	ocoyogil	ocpyivi	lcoyogu
obute	obuta	onure	obire
wamito	samito	dqjito	wsmito
lucatwil	oucatwil	lucarwkl	mucatvil
camo	camop	cajp	caho
obato	ozato	obauo	obwtu
bilworo	bilwojo	nimwori	bulsoro
okot	nkot	ikog	ooot
wugonye	wugotye	wugongw	wunohye
warag	warsg	wadxg	watag
manne	mnnne	janns	mqnne
dwangi	rwangi	ddabvi	dsabgi
tamma	taima	tsmmz	fwmha
berul	berml	vrrul	btrul
ogik	otik	kgii	lbik
ginek	gpnek	gindi	yihek
giwotto	giwottz	gowonto	gldotro
mamakko	mamlkko	maganko	mamqkkk
bikelo	eikelo	buuelo	bokelo
guu	fuu	guh	tuu
okwille	okfille	okwipof	ikwjlle
iterwa	itfrwa	uteewz	jterwa
maarri	mdarri	maqdfi	maaedi
yabbe	yabxe	yagbr	ywbbw
gileggo	giluggo	giievgo	gipeggk
wacit	aacit	waxiy	awcir
pee	mee	pfe	prs
cukari	tukari	choafi	cuoari
igutte	iguttk	jguhtr	igutje
lucwan	lucwane	luccxn	lyxwam
biketo	jiketo	gkkrto	biketl
luka	lukt	luka	khka
ayol	lyol	zyoo	ayii
nyakoni	nyakoki	nywklnu	nyaklni
amarowu	amarogu	ajafosu	zmwroau
ica	gca	icz	lcx
oter	ober	ltet	itrr
pii	piie	pio	pii
nyed	nyhd	nydd	mywd
lakaa	lakab	lqksa	lxlza
ogeŋogi	ogeŋoci	lgfŋogl	pgeŋlgi
gik	giki	rik	bik
olony	olonr	lpony	koony
imarre	imarrej	itarge	ioarre
kacci	vacci	kavck	oxccu
watyeko	watyeko	dafyejo	wstyskp
mug	mugp	jug	hyg
naggai	yaggai	jzgnai	gahgal
deyo	deyh	teyo	dehi
kinanga	kinanba	kjnahgs	kinafra
lupwonnye	lupwovnye	lioeonnye	luisonnye
eŋeye	rŋeye	eŋets	dŋeye
opaa	ovaa	lpqa	olaa
tur	tuy	tjr	tur
iwangi	ieangi	jdanni	iwajgo
gomora	gobora	gimiga	gohpfa
wupeny	wvpeny	wkpeni	qupfby
rumme	rummex	rimms	dumnw
pinynye	pinvnye	libygye	piyynge
kitmen	kitsen	mitmen	kytmsn
cwikko	cwikkov	cainkk	cekmko
girukwa	giruqwa	gituuwq	gifjksa
igamo	igemo	lgamp	igami
iwiyo	iwiyoc	oaiyo	isjyo
aoo	aom	qoo	xpo
matitkiimo	matitniimo	mahihkiimi	katitkiimo
jaa	jaau	jwa	ywa
gico	gicow	yiso	guco
gingeyogi	gingeyogil	hingeyogm	gihgeyogl
myel	ayel	iyel	nyem
gipo	gigo	yjpo	gioo
daan	daanh	dzah	dsan
gliwobbo	gliwobboh	bluwobno	giiwobbi
cer	oer	cet	cdr
atata	atata	atsta	arata
wucanne	wucanze	whcsjne	ducsnne
otoo	otoop	lyoo	ohoi
rocogi	rococi	rodkgj	rifogk
wayubo	wvyubo	aayhbo	wayuno
lukwaŋ	lzkwaŋ	lukszŋ	lunwaŋ
yoni	yhni	noni	yogi
bedi	bedr	bedk	bedu
litinomaca	litinomacr	litinomasc	litibpmacz
limwu	timwu	ljmqu	oihwu
oregge	oreggei	leegre	orfggd
gibirwenyo	gibirwenyz	glbirwehyo	fibirwenyk
tugo	tugoi	fugk	tugk
ocakke	ocqkke	ofqkne	icakmw
illiriko	illirido	illirikk	illlroko
limp	limp	llkp	mihp
wumak	wumako	quhak	wikak
wacuko	wmcuko	wscuml	wavuko
guna	gzna	gyha	guns
acom	avom	xvom	acpj
oliŋ	rliŋ	pmiŋ	lliŋ
bimako	bamako	vimakl	bkmano
oguddo	lguddo	kguwxo	oyuddi
rete	retem	gste	rste
nyinge	nyfnge	gjjnge	nhimge
lanyar	lanyarg	ksnyar	lanhar
ribbewa	ribjewa	rmbbwwa	rkbbrwa
lukia	lukiat	luuix	liula
abum	ybum	cbum	ahum
agunya	agunsa	atjnyw	wgunya
ocaŋogi	ocabogi	idzŋogi	kcaŋlgi
kkii	kkip	ukli	kili
mucero	mutero	mhcrto	muceri
oyoko	oyokof	lhoko	oypko
lalam	lalad	lakam	lalqm
giummo	giummv	hiimmo	ciummp
lung	iung	ping	lumg
olokkoni	olokkonn	ollnjoni	olokkibl
malo	mhlo	mail	halo
kama	vama	iqma	kwms
cwaare	iwaare	vqaarw	dwaxfe
ocul	ocvl	odyl	oqul
labwammi	labwammie	pwnwammi	lagwamnk
ngiine	ngiine	nvihne	nfoihe
cirakuca	cirakuha	firakyva	fjrakusa
owaarre	owazrre	kwaadte	iwaarrd
royo	royp	fpyo	rkyo
kanca	kgnca	kansw	jagca
yea	yma	uea	ysx
niye	niyx	bihe	fiye
anoŋgi	anoŋgb	anoŋgi	anlŋgi
nail	wail	bwil	baio
nam	pam	bam	nzh
kainan	rainan	keinan	oxinan
pakapaka	yakapaka	psjapqka	pakxpzka
agoyo	agoyq	qgoho	wgoyl
ni	nx	ni	nk
lapeena	lapeend	lapssns	iapfeba
ogato	ozato	ogayp	ogxfo
emaka	emakh	wmakx	emzkw
acika	lcika	asioa	adikz
gikwinyo	gikginyo	gikqknyp	tiksihyo
imititto	imitittoz	imirithi	umigittk
lwong	lhong	ieong	odohg
yitone	yiione	yltobd	yltine
Ŋolo	colo	Ŋlmo	Ŋppo
giora	gibra	riorq	fiora
aduno	ayuno	adinl	xdunl
iwil	pwil	ieul	jeil
dongelwokgi	doygelwokgi	donrelwoogi	dongeowomgu
imeja	imejf	ijena	imfjz
aŋuny	iŋuny	aŋuht	aŋunm
kibolle	kibollet	kkhollr	kibolle
aket	aklt	zoet	aiet
ŋeyo	ŋeyos	ŋeto	ŋfyl
latuc	fatuc	larud	lqghc
rocina	rociia	rockna	rocobw
aciyik	aciyhk	dclyik	qcoyjk
mabinno	zabinno	msbijgo	magknnk
gikokowa	gikokowa	gilkjowa	biookoaa
cwallo	cwalqo	cwsolk	ccalpo
watt	ratt	watr	wafh
lalig	laligj	lqliv	maiog
pwod	puod	mwod	pwod
nyac	nyacx	myax	iyac
ocak	ocaf	ifak	kcan
lumegini	lumeginv	lunwgibi	oumegoni
wacoyo	waczyo	wacluo	wackno
maaakko	maaajko	masajkl	mxaakpo
lyetto	lyatto	lyehfl	lyehtp
gibimiyogi	gibjmiyogi	gibimiyoyl	gibimoypyi
atuka	atuka	ztuoa	stukq
gucam	gscam	fkcam	gucsj
medo	meto	medo	jewo
chong	rhong	ckong	vhing
ocene	okene	ocejr	lcdne
karamawu	kararawu	kqrajawu	laramwau
lajog	jajog	lanig	lzypg
unne	unna	ugnf	unje
ŋeya	ŋeyi	ŋsyw	ŋeja
gunen	guncn	tynen	gunen
wanywako	wanywakd	wxnyaako	wayywako
terogi	tecogi	terohi	trtogi
dine	ding	dije	dine
gudot	gsdot	gudkg	gkdjt
pokkeni	pxkkeni	ooumeni	ookleji
lagara	lagarac	magara	iagxrx
laum	gaum	jaum	laui
mare	mure	kars	mqte
dokke	dokee	dokjs	dpkkw
gicanne	ticanne	hicanjf	gicangw
gitii	citii	nutii	giyii
tungge	tnngge	tunygf	tiggge
wugure	wagure	euvurd	wubuge
gilwor	gilwop	nilqir	hilwod
oloki	oboki	iloui	lkoli
git	get	giy	gkt
gibilwoŋa	gibclwoŋa	gibilsoŋw	gibilzpŋa
dici	dicil	foci	gici
luyak	luynk	luuai	puyai
wuneno-ni	wuneno-nx	wuneno-gi	whjeno-ni
tuuro	tuuroj	tkueo	tijri
winyno	winynoc	sinyml	wimuno
parao	parao	pawao	patso
pit-pit	pit-pct	piu-pir	pjh-pit
igon	rgon	ihom	igon
gikobogi	gikobogir	fikovohi	giklbkgl
gibipako	gibipjko	jibjpako	giblkwko
mukwe-ni	mukwe-gi	mykwf-ni	mukqe-ni
ilok	iloko	iooi	ilok
biŋatte	biŋattep	boŋqttf	boŋatts
gupwoye	gupweye	gupaogs	gupqpye
