khuwakho	khuwarho	uhuwakhj	khuaalho
sibekhoyesa	sibekhoyesc	sibskhoteca	sofekyoyesa
bululu	buluwu	vumulk	hukulu
bibiimambakho	bibiimambakhol	bibiiuambqkho	bibulhzmbakho
papa	papt	kapw	paos
sikuliwawo	sikulibawo	silullwawp	sinuliwaso
khutweela	ihutweela	khuhzeela	kbuvweela
abonekheele	abonekheese	avpnekhesle	sbokskheele
muramatsaka	muramarsaka	mutzmatsaia	huramxteaja
tsabalumaka	tsabalubaka	tsagalkmaks	tssgzlumaia
khangoboleyo	khanglboleyo	khanbkboksyo	khangonklfyl
baloonda	bsloonda	bwlolnsa	bapkohda
sibasaaba	sibaswaba	sibaeaanq	sigawaabq
ambakha	ambakhas	whbakna	aubakhs
indikarona	indiaarona	ondikarofa	ineikaeina
akhala	akkala	snhsla	xktwla
shinyalikhana	shinyalikhlna	ahlnyalikhzna	suibyapjkhana
umaliliseyo	umaleliseyo	ymaliliqeyk	ykaoilissyo
ushiili	uphiili	uwhiupi	yxtiili
sikuliwa	sukuliwa	zikiliea	qikuliws
baraambisa	baraambzsa	baeawhbisa	bagaamgisa
bamutsuntsumilise	bamutsundsumilise	bxmugshntaimilise	bamutsujtsunomise
umusilu	umfsilu	jnueilu	umksilj
elilemo	elilemx	epipwmo	rmilemk
ewaanayo	ewaanhyo	wwaajayi	eaaabqyo
uwakanikha	uwakanikhad	uwakaniuhw	uwqmanikga
bakhulaanga	bakhulaangg	bakhulaahgc	uaihulaajga
eloosela	eloosola	slolssla	elkosepa
khumwibotokhelela	khmmwibotokhelela	mtumwibotokgwlela	khunwivotkktrlela
baatuuma	bjatuuma	bqstjuma	bqatuumw
muwane	muwxne	muwwhe	nuwqje
nandikanikhile	nandikanikhile	nwtdikanikhile	nandkiabijnile
khubisontsoola	khubzsontsoola	khunisintsooma	khubicontsokla
alibamanyisa	alibamaniisa	alibsjwhyisa	aipbamwnyisa
tsingwalaafu	tsingwalaafuy	tdinvwamzafu	tsingwqpaadu
s'akhalila	n'akhalila	e'alhalika	s'akhxljlq
mumwambaasakho	mumwampaasakho	mumwsmbaaxckho	mumwanbaxqabho
agabo	agano	avzbo	wgabu
khutsukha	ktutsukha	jhktsukga	khjtsumta
khumwiyakhila	khumwiyakhill	mhumwiyakhilw	mjhmwiyakuila
yaweelewo	yaweelewz	tawfeledo	haweelfso
indweela	imdweela	lndweeka	invweela
shishiramileyo	shishiramuleyo	shishidsmjpeyo	smixhiramileyp
ŋali	ŋalif	ŋali	ŋalu
khufunakho	khufuntkho	khubufakho	uhufumakhp
nabakhupa	nabakhupax	navakhupa	nafakbula
lyaana	iyaana	kgaana	lysanx
iyakila	iyakilaz	iyxkila	iydkima
khukhukhalimo	hhukhukhalimo	khjnhukhaiiko	khukhukhzlkjo
lyabaliwa	lyabaliwab	lgavaiiwa	lfabzliwa
kuutwa	kuutza	muutaq	kuitww
likoshe	likoshu	piopshe	likishq
akayiko	akaynko	akzykkk	akajoki
babikabananila	baaikabananila	bablkzvanajila	bwgikabanamimz
tsilulu	esilulu	tzjluou	tqikjlu
mukhawatsaka	mukhawdtsaka	mguhzwatsaka	mukhawqtcaka
wakobosela	wmkobosela	eanobosels	wakoboswla
nekhala	nejhala	nekhqkq	jrkhala
bubunyala	bukunyala	bubinyska	cubunysla
kaama	zaama	naaja	kashs
unyoowela	unyoowewa	ynyoieela	unyposela
byashihesa	bytshihesa	byashhhesz	vjashihssa
lunyilili	luzyilili	lknyikili	punyilioi
ukhonyaka	urhonyaka	ukuonyakd	ykmonyana
nayibikhila	nayibikfila	nzyibikhioa	natibokhilx
bwakwo	bwykwo	vwaiwo	bdxnwo
umulaangile	umulaangxle	umupazngole	umujqajgile
bamusabile	bamusabiie	bamudabile	namusabole
bareeba	bareebc	nafeebz	bareeva
mukyeekhe	muzyeekhe	mukgerkhd	mukfeekhe
shibariisa	shioariisa	cnubariisa	syihzriisa
byabirirewo	byabbrirewo	byaburjrfwo	byanigurswo
bibibelewo	bibibwlewo	bigibemewo	binibflrwo
babaramilewo	babarvmilewo	babarsjjpewo	babseamildwo
khururawo	khurlrawo	khururack	khirurawl
khusheesakho	khssheesakho	khjqhedsajho	khhsherswlho
baboni	babonb	bzboni	gahomi
shishakwa	shiihakwa	shkshwkwq	shjshzuwa
lulukhali	lulughali	lulukuaok	luljkhsii
babasitowelelwe	babasiqowelelwe	bahasjtlwelemwe	bahazitowelwmwe
shikobola	sfikobola	shkkobols	shikoboma
khubara	khubata	khjnara	ojubara
bulafu	bulafc	bhlsfi	bylafu
mukanane	mukanaje	mukansgf	jkkanand
utsye	ursye	uteyd	jtste
abatisa	abavisa	abatjdz	abaties
kikyakaanisa	kikyakaanish	kukjwkaanksa	jikyauaankda
nywe	nyfe	nydf	myws
wilaanga	winaanga	ailqanta	wjlaqnya
bababoolela	bnbaboolela	banaboolria	fxbafooleka
kanondelela	kaiondelela	kanljdelfla	ianonwelelx
ulilaangibwa	ulilaangzbwa	ylioazngibwq	ulilqangihqa
umukhale	umukfale	jhhkhale	umukhxke
ikooti	ikowti	ikloru	ikoofl
akhalabaanila	akhalabaarila	akhslabasnllz	akhalqbasnils
bakukuula	bakuxuula	hwmukuula	gakukuulz
tsisesaba	tsisesabx	tskaeswba	tsisdsafw
bikanibwa	bikakibwa	hiksnibqa	vukaninwa
abeere	azeere	agfrre	sbeere
khumufukiililamo	khumufukiililumo	khumufujoukilajo	khukufukiolilqmk
wiŋooneŋoone	wyŋooneŋoone	wiŋkondŋpone	wiŋoogeŋophf
khukanikhatsaka	khukanikhatsakac	khjkanimhahsanw	khukamijhateska
imali	xmali	imzlj	imalk
nindikobola	nisdikobola	nkndijpbola	nincikoblpa
mukoboleyo	mukoboleyj	mukpboldyp	muuoboleyk
umufuura	umufuurav	kmyfuhra	umuriuga
akhamwambaasilamo	akhamdambaasilamo	akmamwxmbaasipami	qnhqmwahbaxsilako
nalyombekhela	nalyombekmela	nspykmbekhsla	nalyojbekjeka
khusiinga	khusiingv	kbuskinfa	nhuciingz
mena	menaz	kenq	jens
basisiikha	basisirkha	basidikkua	basisiokga
bamuwabile	bamuaabile	famjwabike	hqmuwablle
bubumuwambakho	bubumugambakho	bubumiwambamyk	bybumuwamvwkho
khusimisa	khusimisj	jhusihisx	ihusumisa
mumbulila	mumbulilp	munculila	humhulilz
khuboombekha	khuboopbekha	kmufookbenha	kgkboombdkhz
waruuya	waryuya	wafuuya	waryhyz
wayikela	wayykela	waiijela	wayioela
lulwefwe	lklwefwe	lukwrbwe	ljlweewe
n'umulekhe	n'umulekhe	n'imulekhs	n'nmulekge
shikhulu	shikhulut	qhiknulu	qhkkhulj
khuraamba	khuraarba	khjfaajba	kyuraamga
ulibakhalila	uiibakhalila	ikivakhapila	ulubaihaliia
balibusanisa	balibuswnisa	fakkbusajisa	nalibucahisa
khukhwiiribwa	khukhviiribwa	khulhwiiribcz	khykhwikribaa
shishiindu	shishiindub	snisjiijdu	shkshlineu
musaambo	musaamdo	musxaibo	musaqmho
sikhwasutile	sikhwasttile	sikhaashtjpe	sijmwaquyile
mulekelesa	mulekelesa	juleoeleqa	mulekelwsa
ikhakana	iknakana	kkhekana	lkgakanw
kano	kanh	iano	kqho
kulekhe	kulekhes	kupdlhe	kupekue
khwawulila	khwawulima	khaweulila	phqawulila
bikeenge	bikeengd	bimeenge	bikdengc
bashaawe	kashaawe	nashawwf	bzshaaqe
imandalasa	imajdalasa	imzmdalasq	ihandamasa
shishimenyelawo	lhishimenyelawo	shixtikenjeoawo	shjsmkmenhelawo
ikhola	ihhola	ikhpps	okhopa
khutiilakho	whutiilakho	khutlkkakho	uhuhiiianho
indyonakisa	indyunakisa	lndylnskisa	igdyonakksx
baabona	baabonab	baanpnq	baagknx
zarefasi	zazefasi	zarebxsk	sarefssu
aboolele	abiolele	zboklelw	ablklele
mukhabariisariisa	mukhabarjisariisa	mukhabxgkosariixa	mukyqbarhisariiqa
abarumane	abarumanv	abarhmznw	abarunsne
baaba	bajba	bwaha	hwava
nakisiikha	nakisiikhe	gakidlikha	nqklwiikha
babaamuwulila	babavmuwulila	babaamuwulkba	babaamjwukilw
kwantsira	kwancsira	keajhsira	kwantsorx
ndeeyi	ndeiyi	nreeyk	ndeayi
yekhaale	yekpaale	heouaale	yekjaald
narulilewo	narulilewog	narjlolfwo	nwruljkewo
aleluya	alxluya	zpfluya	alelyya
yakamisa	yakamisl	gajanisa	taoamjsa
iyikhilila	iyikhilila	iykkhilklw	iyimhilila
wikhale	wpkhale	eikhzme	wjuhake
bakoraana	bakoqaana	vqkogaana	baioraanz
muryatsake	curyatsake	muryatxaks	mkryatsske
lwabusheele	lwasusheele	leabusyedle	owwbhshrele
walya	waloa	wslyw	wapys
kumwanya	kumwanfa	kunwanya	kujwanua
khukhakamisa	khukhqkamisa	khikbakamisa	khukmakanica
kumusilo	kumosilo	kymuxilo	kuuusilo
kitaru	kitalu	kktary	mihatu
kamuloondakho	kamulzondakho	oakkloondzkho	mqnuloondakjo
khuwunya	khuwunyax	khjwjnya	khueugyz
wabokesanisa	wabokesaniua	wabokesxmpsa	wanokfsznksa
akholela	akholelaj	akhoiela	skholeja
amulaanga	amulfanga	zmukaangq	amulxanva
byasho	boasho	btqshp	byasul
wakupaangisa	wakupaankisa	wajupawngjsa	wsjupaabrisa
sibafunakho	sibafunakho	zibxeunakho	dinafubakhk
baakhuleekela	baakhulemkela	naalnulwekela	bsalhuieeksla
imbaleekela	imbaleekrla	imbsleejelz	imfqleekelq
bareerera	baqeerera	bacderera	bwreerera
khubukhweesa	khubukhwqesa	nhufukmwwesa	unugukhwfesa
khukulaanilamo	khupulaanilamo	khujulzamilaho	kjukklaxhilajo
kukwase	uukwase	jukwazd	kukazse
kwiikhe	kwiikhef	kwiikne	kwikihf
balondeleli	bqlondeleli	baionwelelj	valondelelk
mukyeewa	mvkyeewa	mukywdea	nmkyeewa
khweenywe	khwyenywe	ktweenhwr	khwexnywr
khuyiyisibwa	kvuyiyisibwa	khuykhisinwq	khuyjyisibwq
n'umukulwa	niumukulwa	n'umunilsa	n'unukulwx
yaakha	ypakha	jaznha	ysekha
umukooko	umukoojo	ymukolko	inukookl
uweefwe	uweefwe	uweefsf	jeeefae
bukaati	bukaari	bukazto	bumaarl
bilimbiyisibwa	bilimbiyisijwa	bilimciyosibws	bilumbiyuzibwz
babuwamba	babuwambg	bqfiwamba	babueamha
n'endi	n'eddi	n'enwj	h'endi
bitambaala	bitambxala	bitahbqwla	biyambwqla
mwisaaya	mwisaayap	mskdaaya	mwisxayw
bulala	bulaka	bjlala	guoalq
wayilibwa	wayilibwo	wayilibwz	wayilifqx
bamusiima	bamusibma	bzhusikma	bamuximma
uwamuwakho	uwamuwakhoj	uwamhwakmp	uwamhwamno
yeenywe	yeenybe	hrenyee	yrenywr
khumulaanga	khumupaanga	khumulwwnna	jhumilaanga
banyoolekhana	bacyoolekhana	bsnyoolekyzna	bsnyoolskhaja
munyoowa	munyooxa	tunyooda	munyiisa
n'ubawatsake	n'fbawatsake	h'ubawstsakf	m'ubawzysaue
shimilisibwa	sbimilisibwa	zuimolisjbwa	shinilisijwa
biseela	bileela	bpsfela	bnserla
atsyayo	atsyayk	srsysyo	zhsyxyo
babakhwisaaya	babakhwisaayo	bahakhwisaahx	babamheisaaya
ulaangatsaka	ulaangarsaka	ukaangarsama	ulwangarsaka
wakanile	wakanilen	wakznhle	wauagile
nasaangaliile	kasaangaliile	nazxangaioile	nqsawbgwliile
khutsuba	khutspba	lhutauha	khutshha
muyubakilisa	mpyubakilisa	mjyunwlilisa	muyinakjlisa
nyama	nyaea	bysma	ntama
nimilo	nimilor	jikimo	nikilo
lilowo	lillwo	limosp	lilowk
mubweene	mnbweene	mhfweenr	mubseene
ndweela	odweela	ndweeka	jsweelq
simbabuyila	simbabuyina	sihmabuyila	simbagumlla
efwananisa	efwapanisa	ecwansjisa	efwandnica
baafwa	baafwa	bxwgwa	bsxrwa
wamureeberesile	wamurevberesile	wamhresbfresije	wamureebrreeilr
inganikhekho	inganakhekho	ingaginhrkbo	ingqnimtekho
khumurusa	khumurfsa	khunurisz	khumurkza
wandayo	wanddyo	wandsyo	wahwqyo
barafuyila	byrafuyila	barsfuyiiq	bafqfjyila
shisiro	thisiro	chiwirp	ehiskfo
shilitsukhiwa	shilimsukhiwa	shilitsjkjjwa	shilufsukhuwx
wilamo	wilamo	wilako	ailqmo
khutitukha	khutytukha	uhktiyukha	kjugitukba
khuleekela	khulmekela	ohupeskela	khkleeoela
khukhwiitsilakho	khukhwiitsilhkho	mhuohwiitqiiwkho	mhukhqiitsilamho
babuloni	babuuoni	babimomi	bqgullni
indiba	indibk	inxlbq	indohx
wabakho	wabakhof	wabalhp	dxbakno
khumukulilila	khuoukulilila	jhumululioila	mhkmukulilioa
khukhwawukhanisa	khukhwavukhanisa	knujhaawukhabiea	khuohzaaukhanusa
baliindatsakila	baliindatsakilad	baluindzhwskila	baoiindatdaoiox
khwatubaasibwa	khwatubpasibwa	nhwatubaasibww	khwatubaaqlbwa
wabibombesakho	wabibombesajho	wativojbesakho	wafibimbwsalhi
n'ubashebusatsake	n'ubashebjsatsake	b'ubashwbjsarswke	n'ovaehebusarcake
bukakafu	bukakafu	bukakxfu	bjkaixfu
mukhatsya	muahatsya	uukhwtsya	mukbststa
bweloosela	bwtloosela	vdelolsela	bwepooqela
shafuniakikhakamo	bhafuniakikhakamo	zjavuniaoikhakamo	chafubjxkikmakwmo
babamufukiililamo	babamufukiililomo	bqbamueukjilioami	vafakjfjkiiljlamo
bubunyolikhana	bubunzolikhana	bububyolulhaha	bubugylkkknana
benyoolela	benyoolcla	nenyolpela	benupolsla
sishikhwakhila	siseikhwakhila	qushikhwauhula	xoshikhdsmhila
kibaboolela	kbbaboolela	uigsboolela	pibqgoolela
inusu	inusuq	inhsh	ojusy
baataambisibwa	naataambisibwa	gwataambksubwa	faataajbixicwa
netsileyo	neisileyo	netsulrjo	betsikeyo
mwekhaliile	mwekhaliileo	mwzkhakiile	mwfkhziiile
alilaangibwa	alilaangihwa	alikqamgibaa	qlilaamgibsa
oba	obax	obx	oba
balibakhalila	balibzkhalila	bxlibwkhamilx	balifaknqlilw
bukholomi	bukcolomi	bukholomk	buuhklomj
byakholekha	byakholeuha	byaiholfkma	gyakholwkra
byekyela	byekyelz	bysnyelx	byekydlq
babafwiila	babafwiilh	bebarwiila	babxfwiija
shokesanisibwa	shokesanisibwa	ahokedahisibwa	dhonssznisibda
nekhoyele	yekhoyele	nekhoyeka	nfkbogele
khwakama	khwakfma	nhwamamw	ngeakama
imbewo	imbdwo	imbezk	ijbewl
bantsuwe	yantsuwe	fantwhwe	bajtqiwe
ushilikho	urhilikho	lshilikhp	uehilooho
ukhakhola	ukhnkhola	ukhakhkpa	ukhakhola
uwitubaasa	uwioubaasa	uwitubqasa	uwiyubaass
shiyikinikha	shcyikinikha	ztiyukibikha	shjyoninimha
bawukhanilemo	bawukhanihemo	bawukhaniieni	bawuphanileno
waliindatsaka	wsliindatsaka	faliigdagsaka	wakiindagsana
mwiyokesanilemo	maiyokesanilemo	mwuyomfsahileho	makyokwxanilemo
khukulisibwamo	khukrlisibwamo	khukulisjbwamo	khkkupjsibwamp
akhurusibwakho	akhurusibwakhop	akhurusivwakki	amhurisibwanuo
khukhamila	kuukhamila	ktukhamllz	kjjkhamilq
weshenga	weshengq	wexhejra	wewhfbga
babawulila	oabawulila	bsbawulllx	babaqklioa
shitsilililwa	shimsilililwa	ahltfilililwa	shircililipwa
isiikhe	isiirhe	ixjikte	usiikhe
khulakila	khulaeila	khumalipa	ktulakima
luluutsi	auluutsi	lhpuutsi	luluuysi
babandu	babqndu	vabzneu	banzndu
bililyoolelesebwa	bglilyoolelesebwa	nililypolemesebwa	bipilyoilwpeseewa
bemenielese	bemenieuese	bemdnieldqe	bejsnkelesw
mumuruse	mumeruse	jimueuse	mjmjruse
butweela	jutweela	burweeoq	bytsfela
alimaseya	nlimaseya	alimaseys	alimaseya
belootsa	belootsav	bflpotza	beloltda
uwaŋoonebwakho	uwaŋponebwakho	uwaŋionwfwakho	uwaŋionrbwwkho
ly'omweeneyo	ly'omweeniyo	ly'omwfqnfyo	ly'kmqeemeyo
usingibwekho	usidgibwekho	kslnvibwekyo	hsijgobwdkho
nakhasikha	nakhapikha	nxkhaskmha	makhaskkhx
bakhalilawo	bakhalilawop	baohalipaeo	bakhxlilaqo
anywatsaka	anywatsakas	anywqhsaoa	anueatsaka
lilishiili	lhlishiili	lilisyiilk	liloqhiipi
baahela	baahgla	bxwuela	bsanela
khutaambisibwa	khptaambisibwa	khltaakbisifwa	kmuraqnbisjbwa
nikanikhakho	nisanikhakho	nilxbikhakhl	nikahilhamjo
khurumbula	khcrumbula	ihurumbylw	ohurumbuls
ama	amag	ana	smq
khuratsakawo	khuratsakamo	khurataqkask	khhtatsakqwk
mwiyakhile	mwipakhile	mwijakjils	mskyakhile
amenya	amenya	xhehya	amengz
wabalekhela	waualekhela	sabaleuhsla	wahakekhdls
uwewanaatsakayo	uwiwanaatsakayo	ywdwanaafxakayl	uwewznaztxakwyk
biwandikho	blwandikho	hiwahvikho	bpwandikho
shishaama	shishdama	shishwaia	shiqhsama
umukyesi	umukyxsi	umikyxsi	umykywei
beema	beemaj	heemz	besoa
kumuuya	kumusya	lumyuya	uumuuja
imbalomela	imbalooela	imnxoomela	ihbqpomela
shiwolelo	fhiwolelo	stiwiielo	sjisokelo
wantsisaaya	wantsisaaea	wantzisaayx	eantsoeaaya
khushebulilatsaka	khushebulilatsakat	khuxhtgulilatsakq	kyushxbulomatsska
akalusibwa	akslusibwa	akslusibwc	aoaousubwa
washisiima	washisiimaf	dwshisiuma	dashisiimz
khwabalomatsakila	khwabalwmatsakila	kywxgaoomatsaiila	khdanalomateakioq
manaambo	manaamao	manxembo	mzjaxmbo
bekhasi	bekhasc	bfijasi	bfihasi
alimubuula	alibubuula	slimivuula	alimuhhulx
khumiitsa	khuliitsa	mhumiitxa	kuuhiktsa
kwaloma	kwaqoma	kaslomq	kwxloma
shiraambise	shiraambisc	shjraamnisd	zhifaambose
wesyeenda	wesyeenea	wrsheenda	weeyeenfa
asoma	asqma	zaoma	wsoga
banyweekha	bazyweekha	banywdfiha	banyseekja
kuliweebwa	kuliweebwaa	kupiwerbwz	kulideegwa
tsyoolela	tsyooleva	tsyoklfla	gsyokleia
liliminyisa	kiliminyisa	ljlikingisa	kilininjixa
lilikwakho	lilwkwakho	lilokwayho	lklikwzkho
uwikaana	uwivaana	uwkkazga	uwikxaia
babewo	bhbewo	babefl	gahewo
abaalibwila	nbaalibwila	wgawlibwila	abaqlifwola
wakaraambisile	wakaraqmbisile	wakarazihisile	wakzraxmbidule
banyale	bauyale	fanyzie	bauuale
baakuuka	oaakuuka	nxakjuka	baqjhuka
kwenjila	kwenjilaf	kwdnkila	ksehjlla
miimbo	miimbx	mkumgo	miimbi
umutubaasi	umutubaasiu	umhtuhsasi	unutubaaso
bukumu	bukucu	rukjmu	bukjgu
nyaanga	nyaanaa	hyaanfx	nyaxbgw
naandikoombile	naandikoombiler	gaaneiklombule	nxahdinopmbike
bafwanana	oafwanana	vafwqnanq	bafqqhana
besaani	beseani	bvsaami	bewaani
yaatsya	yaatsyt	yzztsua	yaxtstz
bibyesaane	bibyespane	bibyssaane	nibyesaxne
alikanikha	alhkanikha	qliiqnikha	alkkznikhw
baako	baaro	bxaki	baaki
mulimikha	mulimiksa	mulimujhs	mkmimikha
bamalileyo	bamalileco	bqmalpleyo	hahalileuo
khwiitsa	khuiitsa	khdiitxa	jhwiifsa
n'ilifuura	n'ilifuuua	n'ilifuugz	n'mliduura
wabalikha	mabalikha	wavwlikha	wsbakikna
bayile	bayime	bxtole	bajioe
abawo	adawo	abawo	abwwk
buwuusi	quwuusi	byeuuci	bjquusk
naara	naara	nqara	nssga
khukhwoneka	khukhmoneka	imuuhwoneka	hhukhwlneja
babarekana	babarekanah	bahaedkana	babaefkanz
n'ikhoombi	n'ikhoombl	n'inhiimbi	n'ikhopmgi
nakhalya	nakhalyaw	nxnhalyx	nqkhalys
wandikanile	wandikanole	wsndikanule	wandkmajild
bakhaana	bakhaanak	bakhqznx	bakhsanq
byooma	byogma	byolma	bykoja
nanywe	nvnywe	nagjww	manyde
kayisaliya	kayisalifa	kayiwxiiya	nayisakiya
kyeewe	fyeewe	kjeeer	kywwwf
khekhuulya	khekhuulyj	khwmhyulya	khelhuulya
bahanyaka	bahauyaka	bahsntaka	bxjanyxka
khanywinywi	khanywinymi	nhanhwunywi	ogamyeinywi
iyoowo	iyooeo	itoowo	lyoowl
khubashebusa	khubashebusa	mhubashevksz	khkbashebida
mukona	mvkona	nikons	mujknw
khwakhila	khwakhilg	mhwamjila	khwxkhooa
fileto	fileto	fupeti	duleto
wamuloombile	wamuloomfile	sahuooombike	wanullombioe
babafwana	babafwana	gahafwaha	batafaana
khumuwulila	khumuwulilm	khkmuwklioa	luimuwylila
kumuwuulo	kumuwuelo	muiuwuulo	kumuwjilo
niyakhila	niytkhila	nkyxkhilz	niuakhilx
khuliiba	xhuliiba	khipiiva	khulkoba
bikana	bikank	boizna	mikana
uw'omusaayi	ow'omusaayi	hw'omuzzayi	uw'imusxati
khuuraamba	kluuraamba	khuutaqmbw	khujfaqmba
khubala	mhubala	krhbala	khkbald
babeewe	babeewp	babeewf	babeawe
wasaalikhile	wasaalikhiie	waezalikhije	aaqazlikhioe
abatisibwe	abatisjbwe	abatksimwe	abagisobwe
khubiraambisa	khubibaambisa	khyblraakbida	khubigaambica
mwantsililemo	mwantsililemt	mwantaipilfko	mwantqjkilemo
khweyembeleele	bhweyembeleele	khweyrmhrleele	khqejembwleeiw
babusheele	balusheele	bsuusheele	vabusheels
ifwana	iflana	lfwajq	ifdwnx
is'ifwe	is'ifwl	iw'ofwf	ys'ifee
lwaheena	lwaheeya	mswheena	iwauwena
n'asisimukha	n'amisimukha	n'asislmulba	n'xsisumykhw
khwikyele	khwakyele	jhwikjelw	kheikyepe
khwikhala	khwikhalad	khsukbala	kkwjkhala
aleekelatsaka	aleekelatsake	aneekelarsska	qleekelstqzka
biloma	bnloma	bliona	hiloma
mwashikholela	mwashikhowela	msssmikyolela	mwasgiknolela
babakaanisi	babakaaniii	babakawgiwi	bagalaabisi
n'ashiili	n'ashiilir	h'ashiulu	n'ashjill
khuleekelela	khuceekelela	khileeuelela	myileekelelz
kw'omundu	kw'oxundu	kw'omhjdu	ks'lmundk
atweela	atieela	atweejw	ztweelx
ulondelela	uloadelela	ulondeldiq	jkindelela
mukhakyeenda	muihakyeenda	mjuhaktsenda	mukhqkyernda
khukholewa	dhukholewa	mhukhooeaa	khuknoldea
byakhosa	byayhosa	byaihosq	buakhosz
mukukuule	makukuule	jumukuuie	mukkiujle
webiyisa	wkbiyisa	qrbiyiqa	wefiyksa
khuŋaŋasa	khuŋaŋada	kbuŋaŋxza	jhuŋaŋzsa
uwashaase	uwyshaase	uwaahaase	iaawhaase
tsinjiinji	tsmnjiinji	tainjlinjj	tsonuiknji
murengekharengekhe	murengekharenkekhe	nursbgekfwrengekhe	jurengskhagejgeuhe
tsaabwe	hsaabwe	dsaqbwe	tzdabwe
balikhalila	balikhblila	galikhaliis	bwlolhalula
ukanikhila	uuanikhila	ulagjkhila	ukxnikhjka
uwonakisa	uwodakisa	uwlhanisa	uwomwlisa
ketsila	ketsxla	ketsioa	jrteila
wamusaasila	wamukaasila	wqmysaasola	eamksaasjla
ta	ta	ta	tx
lilyanyoowa	lilyanylowa	liljznyoowx	lilyanhopww
mukana	mukanae	muksga	mukxna
imbone	imtone	imbijs	imbone
bayudaaya	bayudiaya	bayuxxaja	bayudwaga
samweli	samwjli	eamdelo	samaeli
unondelele	unondelelc	unoneflepe	ynondelepe
wabirisa	wabirila	wabitlsa	aaburica
bibelewo	wibelewo	fibelewu	higelewo
unyoole	inyoole	unhjole	unuiome
amalile	amalale	amalokr	amallld
khushishuusamo	khushoshuusamo	ktushksnuusami	ohhshishuusano
bibibotokhelelewo	bibibotokheldlewo	bigigotknhelelewo	bibihitiihelemewo
khulw'abo	khylw'abo	khupw'abp	jhulw'abk
babeeribwa	babeeribwae	babeerobds	habeerkbws
imbawambise	imbawamgise	imbqwaubise	imbaqakvise
kapadokiya	kapadokhya	kapadokjya	kxpavoniya
s'etsa	s'etha	s'erss	s'rtsw
kamakwalaafu	kamakwtlaafu	kwmamwalazbu	kzmskdalaafu
bw'omurume	bw'omurumex	bw'omjrhne	gw'omurkmr
lumako	lusako	lumaop	lumxoi
burereefu	bureaeefu	bureeerfh	buefrsefu
khwekhilile	khwewhilile	khwejhulime	ktwentipile
kumulayi	kufulayi	kjmulaii	jujhlayi
weniinisa	keniinisa	wegiimlsa	weniihisa
bambonamo	qambonamo	fambonamm	bangpnamo
shishakhila	shishakhilw	shishxihils	shiqhakbilz
muloma	mulona	millmx	nupoka
uwelala	uwezala	kwrlaia	uweiale
lilindi	uilindi	milimdu	likindo
yakobo	qakobo	uwkoho	yskoho
winyukhe	winyukhex	wjngukme	wonyukve
washolelesa	waeholelesa	waeholeldza	waehomelesa
lw'omwonaki	lw'omwonahi	ow'omdonski	lw'onwknzki
amwikhoyela	amwikhokela	qnwikhoyeia	xmwukhoyela
shilinyalikha	shiginyalikha	shipihyalikka	snklinywiikha
bakhupaka	baphupaka	bakhukaha	vamhupakq
alyambaasa	alrambaasa	alyambassa	amtahbaasa
bibyaano	bibyaana	gibysani	nibyaano
n'aloma	naaloma	n'alkma	n'aplmz
amboone	amboonez	ambooge	qmholne
nabasibula	nubasibula	nabaeobuoa	nsvasinula
itwaaya	xtwaaya	khwaaya	ifwaaha
babakane	babakanef	bqbakane	fsbakane
umuraambi	umupaambi	umiraamhk	umyrasmbl
khumiliisa	khuviliisa	khlmilijsa	ktumiliiax
kyabwe	kyaboe	kyzhqe	uyavde
ikhukholele	ikhuiholele	ikhukholrmf	ikbukhoiele
uwiyikina	uwiyikinah	lwiyikins	uwijiklna
babamuloondelela	babamuloondelgla	babamynoondelekz	baganuloogdelsoa
nalaanga	nalaango	balqagga	jakaanya
uwalya	uwalyag	uwamyz	iqslya
lyabwe	vyabwe	ltagwe	jyabee
batuumaka	batuumasa	baruunaks	batuumalz
bakhuumba	bakhuupba	balhujjba	baknkumbs
bibinikinisibwa	bibinikinisibba	bininikimiaifwa	blbimikihnsibwa
mushimoonyo	mushimuonyo	kushimoonho	mushkmoinyo
aliloma	aliloma	amoloka	zlulima
buyi	buti	byhi	buyk
nabibabooleele	nabibwbooleele	nabibadoolewke	nahibabolleelg
mwimekho	mwimekzo	iwimemho	mwimsuho
s'abekhoyela	s'abekhoyela	s'abskhoueia	w'wbdkhotela
bibintsaali	bibyntsaali	bubintsasli	fibjntsqalo
koosi	kodsi	klosi	kikdi
kwaluno	kwafuno	nwaljnl	kwamuho
wafuna	waguna	wadjna	aqfunw
akangamukha	akangamukhb	skshgamukha	akabgznykha
lilyakoraanile	lihyakoraanile	lilywklraanile	piiyakoraanils
bibindi	bpbindi	bihindi	bivivdi
tadewo	tabewo	tateso	gadewl
kunyale	kunyyle	kuhtqle	kinyspe
uwashikhola	uxashikhola	uwaahlmhola	uwasnikhklx
imbaanayo	imbdanayo	jnnaanayo	ihfaanayl
s'uba	s'ubad	s'iba	s'ubz
ukhukholile	ukhukhokile	uihuknopile	ukuukjllilf
sikhwiiribwa	sikhdiiribwa	simnwiirifww	sikhwjiejbwa
kosaasa	kotaasa	koxaasa	kkcaasa
biwanga	biuanga	bowangx	biaangs
wekhoya	fekhoya	wwkhogw	sfkhoya
masisinwe	masisinwk	jasjxinwe	mzsislbwe
bakukuulila	bakucuulila	bxkukgulila	bakukuylioz
